prompt,question,short_answer,question_type,story_index,qa_prompt,comp_prompt
Clio and Daphene were hanging out in the garage. They saw a pantry and a safe. They found a key in the pantry. Daphene left the garage. Clio moved the key to the safe.,"After Daphene came back to the garage, where would Daphene think Clio would look for the key?",pantry,2ndB,4,"Answer the question based on context:

Context:Clio and Daphene were hanging out in the garage. They saw a pantry and a safe. They found a key in the pantry. Daphene left the garage. Clio moved the key to the safe.
Question:
After Daphene came back to the garage, where would Daphene think Clio would look for the key?","Complete the following paragraph:
Clio and Daphene were hanging out in the garage. They saw a pantry and a safe. They found a key in the pantry. Daphene left the garage. Clio moved the key to the safe. After Daphene came back to the garage, Daphene would think Clio would look for the key in"
Melania and Krysta were hanging out in the living room. They saw a safe and a crate. They found a vest in the safe. Krysta left the living room. Melania moved the vest to the crate.,"After Krysta came back to the living room, where would Krysta look for the vest?",safe,1stB,5,"Answer the question based on context:

Context:Melania and Krysta were hanging out in the living room. They saw a safe and a crate. They found a vest in the safe. Krysta left the living room. Melania moved the vest to the crate.
Question:
After Krysta came back to the living room, where would Krysta look for the vest?","Complete the following paragraph:
Melania and Krysta were hanging out in the living room. They saw a safe and a crate. They found a vest in the safe. Krysta left the living room. Melania moved the vest to the crate. After Krysta came back to the living room, Krysta would look for the vest in"
Melania and Krysta were hanging out in the living room. They saw a safe and a crate. They found a vest in the safe. Krysta left the living room. Melania moved the vest to the crate.,"After Krysta came back to the living room, where would Melania think Krysta would look for the vest?",safe,2ndA,5,"Answer the question based on context:

Context:Melania and Krysta were hanging out in the living room. They saw a safe and a crate. They found a vest in the safe. Krysta left the living room. Melania moved the vest to the crate.
Question:
After Krysta came back to the living room, where would Melania think Krysta would look for the vest?","Complete the following paragraph:
Melania and Krysta were hanging out in the living room. They saw a safe and a crate. They found a vest in the safe. Krysta left the living room. Melania moved the vest to the crate. After Krysta came back to the living room, Melania would think Krysta would look for the vest in"
Melania and Krysta were hanging out in the living room. They saw a safe and a crate. They found a vest in the safe. Krysta left the living room. Melania moved the vest to the crate.,"After Krysta came back to the living room, where would Krysta think Melania would look for the vest?",safe,2ndB,5,"Answer the question based on context:

Context:Melania and Krysta were hanging out in the living room. They saw a safe and a crate. They found a vest in the safe. Krysta left the living room. Melania moved the vest to the crate.
Question:
After Krysta came back to the living room, where would Krysta think Melania would look for the vest?","Complete the following paragraph:
Melania and Krysta were hanging out in the living room. They saw a safe and a crate. They found a vest in the safe. Krysta left the living room. Melania moved the vest to the crate. After Krysta came back to the living room, Krysta would think Melania would look for the vest in"
Hillary and Kathryne were hanging out in the basement. They saw a case and a suitcase. They found a mask in the case. Kathryne left the basement. Hillary moved the mask to the suitcase.,"After Kathryne came back to the basement, where would Kathryne look for the mask?",case,1stB,6,"Answer the question based on context:

Context:Hillary and Kathryne were hanging out in the basement. They saw a case and a suitcase. They found a mask in the case. Kathryne left the basement. Hillary moved the mask to the suitcase.
Question:
After Kathryne came back to the basement, where would Kathryne look for the mask?","Complete the following paragraph:
Hillary and Kathryne were hanging out in the basement. They saw a case and a suitcase. They found a mask in the case. Kathryne left the basement. Hillary moved the mask to the suitcase. After Kathryne came back to the basement, Kathryne would look for the mask in"
Hillary and Kathryne were hanging out in the basement. They saw a case and a suitcase. They found a mask in the case. Kathryne left the basement. Hillary moved the mask to the suitcase.,"After Kathryne came back to the basement, where would Hillary think Kathryne would look for the mask?",case,2ndA,6,"Answer the question based on context:

Context:Hillary and Kathryne were hanging out in the basement. They saw a case and a suitcase. They found a mask in the case. Kathryne left the basement. Hillary moved the mask to the suitcase.
Question:
After Kathryne came back to the basement, where would Hillary think Kathryne would look for the mask?","Complete the following paragraph:
Hillary and Kathryne were hanging out in the basement. They saw a case and a suitcase. They found a mask in the case. Kathryne left the basement. Hillary moved the mask to the suitcase. After Kathryne came back to the basement, Hillary would think Kathryne would look for the mask in"
Hillary and Kathryne were hanging out in the basement. They saw a case and a suitcase. They found a mask in the case. Kathryne left the basement. Hillary moved the mask to the suitcase.,"After Kathryne came back to the basement, where would Kathryne think Hillary would look for the mask?",case,2ndB,6,"Answer the question based on context:

Context:Hillary and Kathryne were hanging out in the basement. They saw a case and a suitcase. They found a mask in the case. Kathryne left the basement. Hillary moved the mask to the suitcase.
Question:
After Kathryne came back to the basement, where would Kathryne think Hillary would look for the mask?","Complete the following paragraph:
Hillary and Kathryne were hanging out in the basement. They saw a case and a suitcase. They found a mask in the case. Kathryne left the basement. Hillary moved the mask to the suitcase. After Kathryne came back to the basement, Kathryne would think Hillary would look for the mask in"
Norina and Jobina were hanging out in the loft. They saw a box and a locker. They found a ruler in the box. Jobina left the loft. Norina moved the ruler to the locker.,"After Jobina came back to the loft, where would Jobina look for the ruler?",box,1stB,7,"Answer the question based on context:

Context:Norina and Jobina were hanging out in the loft. They saw a box and a locker. They found a ruler in the box. Jobina left the loft. Norina moved the ruler to the locker.
Question:
After Jobina came back to the loft, where would Jobina look for the ruler?","Complete the following paragraph:
Norina and Jobina were hanging out in the loft. They saw a box and a locker. They found a ruler in the box. Jobina left the loft. Norina moved the ruler to the locker. After Jobina came back to the loft, Jobina would look for the ruler in"
Norina and Jobina were hanging out in the loft. They saw a box and a locker. They found a ruler in the box. Jobina left the loft. Norina moved the ruler to the locker.,"After Jobina came back to the loft, where would Norina think Jobina would look for the ruler?",box,2ndA,7,"Answer the question based on context:

Context:Norina and Jobina were hanging out in the loft. They saw a box and a locker. They found a ruler in the box. Jobina left the loft. Norina moved the ruler to the locker.
Question:
After Jobina came back to the loft, where would Norina think Jobina would look for the ruler?","Complete the following paragraph:
Norina and Jobina were hanging out in the loft. They saw a box and a locker. They found a ruler in the box. Jobina left the loft. Norina moved the ruler to the locker. After Jobina came back to the loft, Norina would think Jobina would look for the ruler in"
Norina and Jobina were hanging out in the loft. They saw a box and a locker. They found a ruler in the box. Jobina left the loft. Norina moved the ruler to the locker.,"After Jobina came back to the loft, where would Jobina think Norina would look for the ruler?",box,2ndB,7,"Answer the question based on context:

Context:Norina and Jobina were hanging out in the loft. They saw a box and a locker. They found a ruler in the box. Jobina left the loft. Norina moved the ruler to the locker.
Question:
After Jobina came back to the loft, where would Jobina think Norina would look for the ruler?","Complete the following paragraph:
Norina and Jobina were hanging out in the loft. They saw a box and a locker. They found a ruler in the box. Jobina left the loft. Norina moved the ruler to the locker. After Jobina came back to the loft, Jobina would think Norina would look for the ruler in"
Karalynn and Clio were hanging out in the kitchen. They saw a bin and a box. They found a calculator in the bin. Clio left the kitchen. Karalynn moved the calculator to the box.,"After Clio came back to the kitchen, where would Clio look for the calculator?",bin,1stB,8,"Answer the question based on context:

Context:Karalynn and Clio were hanging out in the kitchen. They saw a bin and a box. They found a calculator in the bin. Clio left the kitchen. Karalynn moved the calculator to the box.
Question:
After Clio came back to the kitchen, where would Clio look for the calculator?","Complete the following paragraph:
Karalynn and Clio were hanging out in the kitchen. They saw a bin and a box. They found a calculator in the bin. Clio left the kitchen. Karalynn moved the calculator to the box. After Clio came back to the kitchen, Clio would look for the calculator in"
Karalynn and Clio were hanging out in the kitchen. They saw a bin and a box. They found a calculator in the bin. Clio left the kitchen. Karalynn moved the calculator to the box.,"After Clio came back to the kitchen, where would Karalynn think Clio would look for the calculator?",bin,2ndA,8,"Answer the question based on context:

Context:Karalynn and Clio were hanging out in the kitchen. They saw a bin and a box. They found a calculator in the bin. Clio left the kitchen. Karalynn moved the calculator to the box.
Question:
After Clio came back to the kitchen, where would Karalynn think Clio would look for the calculator?","Complete the following paragraph:
Karalynn and Clio were hanging out in the kitchen. They saw a bin and a box. They found a calculator in the bin. Clio left the kitchen. Karalynn moved the calculator to the box. After Clio came back to the kitchen, Karalynn would think Clio would look for the calculator in"
Karalynn and Clio were hanging out in the kitchen. They saw a bin and a box. They found a calculator in the bin. Clio left the kitchen. Karalynn moved the calculator to the box.,"After Clio came back to the kitchen, where would Clio think Karalynn would look for the calculator?",bin,2ndB,8,"Answer the question based on context:

Context:Karalynn and Clio were hanging out in the kitchen. They saw a bin and a box. They found a calculator in the bin. Clio left the kitchen. Karalynn moved the calculator to the box.
Question:
After Clio came back to the kitchen, where would Clio think Karalynn would look for the calculator?","Complete the following paragraph:
Karalynn and Clio were hanging out in the kitchen. They saw a bin and a box. They found a calculator in the bin. Clio left the kitchen. Karalynn moved the calculator to the box. After Clio came back to the kitchen, Clio would think Karalynn would look for the calculator in"
Vera and Daphene were hanging out in the terrace. They saw a coffer and a bin. They found a cable in the coffer. Daphene left the terrace. Vera moved the cable to the bin.,"After Daphene came back to the terrace, where would Daphene look for the cable?",coffer,1stB,9,"Answer the question based on context:

Context:Vera and Daphene were hanging out in the terrace. They saw a coffer and a bin. They found a cable in the coffer. Daphene left the terrace. Vera moved the cable to the bin.
Question:
After Daphene came back to the terrace, where would Daphene look for the cable?","Complete the following paragraph:
Vera and Daphene were hanging out in the terrace. They saw a coffer and a bin. They found a cable in the coffer. Daphene left the terrace. Vera moved the cable to the bin. After Daphene came back to the terrace, Daphene would look for the cable in"
Vera and Daphene were hanging out in the terrace. They saw a coffer and a bin. They found a cable in the coffer. Daphene left the terrace. Vera moved the cable to the bin.,"After Daphene came back to the terrace, where would Vera think Daphene would look for the cable?",coffer,2ndA,9,"Answer the question based on context:

Context:Vera and Daphene were hanging out in the terrace. They saw a coffer and a bin. They found a cable in the coffer. Daphene left the terrace. Vera moved the cable to the bin.
Question:
After Daphene came back to the terrace, where would Vera think Daphene would look for the cable?","Complete the following paragraph:
Vera and Daphene were hanging out in the terrace. They saw a coffer and a bin. They found a cable in the coffer. Daphene left the terrace. Vera moved the cable to the bin. After Daphene came back to the terrace, Vera would think Daphene would look for the cable in"
Vera and Daphene were hanging out in the terrace. They saw a coffer and a bin. They found a cable in the coffer. Daphene left the terrace. Vera moved the cable to the bin.,"After Daphene came back to the terrace, where would Daphene think Vera would look for the cable?",coffer,2ndB,9,"Answer the question based on context:

Context:Vera and Daphene were hanging out in the terrace. They saw a coffer and a bin. They found a cable in the coffer. Daphene left the terrace. Vera moved the cable to the bin.
Question:
After Daphene came back to the terrace, where would Daphene think Vera would look for the cable?","Complete the following paragraph:
Vera and Daphene were hanging out in the terrace. They saw a coffer and a bin. They found a cable in the coffer. Daphene left the terrace. Vera moved the cable to the bin. After Daphene came back to the terrace, Daphene would think Vera would look for the cable in"
Sabra and Melania were hanging out in the balcony. They saw a safe and a chamber. They found a binder in the safe. Melania left the balcony. Sabra moved the binder to the chamber.,"After Melania came back to the balcony, where would Melania look for the binder?",safe,1stB,10,"Answer the question based on context:

Context:Sabra and Melania were hanging out in the balcony. They saw a safe and a chamber. They found a binder in the safe. Melania left the balcony. Sabra moved the binder to the chamber.
Question:
After Melania came back to the balcony, where would Melania look for the binder?","Complete the following paragraph:
Sabra and Melania were hanging out in the balcony. They saw a safe and a chamber. They found a binder in the safe. Melania left the balcony. Sabra moved the binder to the chamber. After Melania came back to the balcony, Melania would look for the binder in"
Sabra and Melania were hanging out in the balcony. They saw a safe and a chamber. They found a binder in the safe. Melania left the balcony. Sabra moved the binder to the chamber.,"After Melania came back to the balcony, where would Sabra think Melania would look for the binder?",safe,2ndA,10,"Answer the question based on context:

Context:Sabra and Melania were hanging out in the balcony. They saw a safe and a chamber. They found a binder in the safe. Melania left the balcony. Sabra moved the binder to the chamber.
Question:
After Melania came back to the balcony, where would Sabra think Melania would look for the binder?","Complete the following paragraph:
Sabra and Melania were hanging out in the balcony. They saw a safe and a chamber. They found a binder in the safe. Melania left the balcony. Sabra moved the binder to the chamber. After Melania came back to the balcony, Sabra would think Melania would look for the binder in"
Sabra and Melania were hanging out in the balcony. They saw a safe and a chamber. They found a binder in the safe. Melania left the balcony. Sabra moved the binder to the chamber.,"After Melania came back to the balcony, where would Melania think Sabra would look for the binder?",safe,2ndB,10,"Answer the question based on context:

Context:Sabra and Melania were hanging out in the balcony. They saw a safe and a chamber. They found a binder in the safe. Melania left the balcony. Sabra moved the binder to the chamber.
Question:
After Melania came back to the balcony, where would Melania think Sabra would look for the binder?","Complete the following paragraph:
Sabra and Melania were hanging out in the balcony. They saw a safe and a chamber. They found a binder in the safe. Melania left the balcony. Sabra moved the binder to the chamber. After Melania came back to the balcony, Melania would think Sabra would look for the binder in"
Clio and Felicity were hanging out in the nursery. They saw a tote and a bag. They found a cup in the tote. Felicity left the nursery. Clio moved the cup to the bag.,"After Felicity came back to the nursery, where would Felicity look for the cup?",tote,1stB,11,"Answer the question based on context:

Context:Clio and Felicity were hanging out in the nursery. They saw a tote and a bag. They found a cup in the tote. Felicity left the nursery. Clio moved the cup to the bag.
Question:
After Felicity came back to the nursery, where would Felicity look for the cup?","Complete the following paragraph:
Clio and Felicity were hanging out in the nursery. They saw a tote and a bag. They found a cup in the tote. Felicity left the nursery. Clio moved the cup to the bag. After Felicity came back to the nursery, Felicity would look for the cup in"
Clio and Felicity were hanging out in the nursery. They saw a tote and a bag. They found a cup in the tote. Felicity left the nursery. Clio moved the cup to the bag.,"After Felicity came back to the nursery, where would Clio think Felicity would look for the cup?",tote,2ndA,11,"Answer the question based on context:

Context:Clio and Felicity were hanging out in the nursery. They saw a tote and a bag. They found a cup in the tote. Felicity left the nursery. Clio moved the cup to the bag.
Question:
After Felicity came back to the nursery, where would Clio think Felicity would look for the cup?","Complete the following paragraph:
Clio and Felicity were hanging out in the nursery. They saw a tote and a bag. They found a cup in the tote. Felicity left the nursery. Clio moved the cup to the bag. After Felicity came back to the nursery, Clio would think Felicity would look for the cup in"
Clio and Felicity were hanging out in the nursery. They saw a tote and a bag. They found a cup in the tote. Felicity left the nursery. Clio moved the cup to the bag.,"After Felicity came back to the nursery, where would Felicity think Clio would look for the cup?",tote,2ndB,11,"Answer the question based on context:

Context:Clio and Felicity were hanging out in the nursery. They saw a tote and a bag. They found a cup in the tote. Felicity left the nursery. Clio moved the cup to the bag.
Question:
After Felicity came back to the nursery, where would Felicity think Clio would look for the cup?","Complete the following paragraph:
Clio and Felicity were hanging out in the nursery. They saw a tote and a bag. They found a cup in the tote. Felicity left the nursery. Clio moved the cup to the bag. After Felicity came back to the nursery, Felicity would think Clio would look for the cup in"
Felicity and Hillary were hanging out in the conservatory. They saw a cabinet and a chest. They found a carrot in the cabinet. Hillary left the conservatory. Felicity moved the carrot to the chest.,"After Hillary came back to the conservatory, where would Hillary look for the carrot?",cabinet,1stB,12,"Answer the question based on context:

Context:Felicity and Hillary were hanging out in the conservatory. They saw a cabinet and a chest. They found a carrot in the cabinet. Hillary left the conservatory. Felicity moved the carrot to the chest.
Question:
After Hillary came back to the conservatory, where would Hillary look for the carrot?","Complete the following paragraph:
Felicity and Hillary were hanging out in the conservatory. They saw a cabinet and a chest. They found a carrot in the cabinet. Hillary left the conservatory. Felicity moved the carrot to the chest. After Hillary came back to the conservatory, Hillary would look for the carrot in"
Felicity and Hillary were hanging out in the conservatory. They saw a cabinet and a chest. They found a carrot in the cabinet. Hillary left the conservatory. Felicity moved the carrot to the chest.,"After Hillary came back to the conservatory, where would Felicity think Hillary would look for the carrot?",cabinet,2ndA,12,"Answer the question based on context:

Context:Felicity and Hillary were hanging out in the conservatory. They saw a cabinet and a chest. They found a carrot in the cabinet. Hillary left the conservatory. Felicity moved the carrot to the chest.
Question:
After Hillary came back to the conservatory, where would Felicity think Hillary would look for the carrot?","Complete the following paragraph:
Felicity and Hillary were hanging out in the conservatory. They saw a cabinet and a chest. They found a carrot in the cabinet. Hillary left the conservatory. Felicity moved the carrot to the chest. After Hillary came back to the conservatory, Felicity would think Hillary would look for the carrot in"
Felicity and Hillary were hanging out in the conservatory. They saw a cabinet and a chest. They found a carrot in the cabinet. Hillary left the conservatory. Felicity moved the carrot to the chest.,"After Hillary came back to the conservatory, where would Hillary think Felicity would look for the carrot?",cabinet,2ndB,12,"Answer the question based on context:

Context:Felicity and Hillary were hanging out in the conservatory. They saw a cabinet and a chest. They found a carrot in the cabinet. Hillary left the conservatory. Felicity moved the carrot to the chest.
Question:
After Hillary came back to the conservatory, where would Hillary think Felicity would look for the carrot?","Complete the following paragraph:
Felicity and Hillary were hanging out in the conservatory. They saw a cabinet and a chest. They found a carrot in the cabinet. Hillary left the conservatory. Felicity moved the carrot to the chest. After Hillary came back to the conservatory, Hillary would think Felicity would look for the carrot in"
Sabra and Hillary were hanging out in the lounge. They saw a box and a cabinet. They found a lemon in the box. Hillary left the lounge. Sabra moved the lemon to the cabinet.,"After Hillary came back to the lounge, where would Hillary look for the lemon?",box,1stB,13,"Answer the question based on context:

Context:Sabra and Hillary were hanging out in the lounge. They saw a box and a cabinet. They found a lemon in the box. Hillary left the lounge. Sabra moved the lemon to the cabinet.
Question:
After Hillary came back to the lounge, where would Hillary look for the lemon?","Complete the following paragraph:
Sabra and Hillary were hanging out in the lounge. They saw a box and a cabinet. They found a lemon in the box. Hillary left the lounge. Sabra moved the lemon to the cabinet. After Hillary came back to the lounge, Hillary would look for the lemon in"
Sabra and Hillary were hanging out in the lounge. They saw a box and a cabinet. They found a lemon in the box. Hillary left the lounge. Sabra moved the lemon to the cabinet.,"After Hillary came back to the lounge, where would Sabra think Hillary would look for the lemon?",box,2ndA,13,"Answer the question based on context:

Context:Sabra and Hillary were hanging out in the lounge. They saw a box and a cabinet. They found a lemon in the box. Hillary left the lounge. Sabra moved the lemon to the cabinet.
Question:
After Hillary came back to the lounge, where would Sabra think Hillary would look for the lemon?","Complete the following paragraph:
Sabra and Hillary were hanging out in the lounge. They saw a box and a cabinet. They found a lemon in the box. Hillary left the lounge. Sabra moved the lemon to the cabinet. After Hillary came back to the lounge, Sabra would think Hillary would look for the lemon in"
Sabra and Hillary were hanging out in the lounge. They saw a box and a cabinet. They found a lemon in the box. Hillary left the lounge. Sabra moved the lemon to the cabinet.,"After Hillary came back to the lounge, where would Hillary think Sabra would look for the lemon?",box,2ndB,13,"Answer the question based on context:

Context:Sabra and Hillary were hanging out in the lounge. They saw a box and a cabinet. They found a lemon in the box. Hillary left the lounge. Sabra moved the lemon to the cabinet.
Question:
After Hillary came back to the lounge, where would Hillary think Sabra would look for the lemon?","Complete the following paragraph:
Sabra and Hillary were hanging out in the lounge. They saw a box and a cabinet. They found a lemon in the box. Hillary left the lounge. Sabra moved the lemon to the cabinet. After Hillary came back to the lounge, Hillary would think Sabra would look for the lemon in"
Meira and Juanita were hanging out in the dining room. They saw a suitcase and a chest. They found a pear in the suitcase. Juanita left the dining room. Meira moved the pear to the chest.,"After Juanita came back to the dining room, where would Juanita look for the pear?",suitcase,1stB,14,"Answer the question based on context:

Context:Meira and Juanita were hanging out in the dining room. They saw a suitcase and a chest. They found a pear in the suitcase. Juanita left the dining room. Meira moved the pear to the chest.
Question:
After Juanita came back to the dining room, where would Juanita look for the pear?","Complete the following paragraph:
Meira and Juanita were hanging out in the dining room. They saw a suitcase and a chest. They found a pear in the suitcase. Juanita left the dining room. Meira moved the pear to the chest. After Juanita came back to the dining room, Juanita would look for the pear in"
Meira and Juanita were hanging out in the dining room. They saw a suitcase and a chest. They found a pear in the suitcase. Juanita left the dining room. Meira moved the pear to the chest.,"After Juanita came back to the dining room, where would Meira think Juanita would look for the pear?",suitcase,2ndA,14,"Answer the question based on context:

Context:Meira and Juanita were hanging out in the dining room. They saw a suitcase and a chest. They found a pear in the suitcase. Juanita left the dining room. Meira moved the pear to the chest.
Question:
After Juanita came back to the dining room, where would Meira think Juanita would look for the pear?","Complete the following paragraph:
Meira and Juanita were hanging out in the dining room. They saw a suitcase and a chest. They found a pear in the suitcase. Juanita left the dining room. Meira moved the pear to the chest. After Juanita came back to the dining room, Meira would think Juanita would look for the pear in"
Meira and Juanita were hanging out in the dining room. They saw a suitcase and a chest. They found a pear in the suitcase. Juanita left the dining room. Meira moved the pear to the chest.,"After Juanita came back to the dining room, where would Juanita think Meira would look for the pear?",suitcase,2ndB,14,"Answer the question based on context:

Context:Meira and Juanita were hanging out in the dining room. They saw a suitcase and a chest. They found a pear in the suitcase. Juanita left the dining room. Meira moved the pear to the chest.
Question:
After Juanita came back to the dining room, where would Juanita think Meira would look for the pear?","Complete the following paragraph:
Meira and Juanita were hanging out in the dining room. They saw a suitcase and a chest. They found a pear in the suitcase. Juanita left the dining room. Meira moved the pear to the chest. After Juanita came back to the dining room, Juanita would think Meira would look for the pear in"
