prompt,question,short_answer,question_type,story_index,qa_prompt,comp_prompt
Clio found a box in the garage. The label on the box says key. Clio couldn’t see what was inside the box. Clio opened the box and found a plate. There is no key in the box. Clio closed the box and put it back. Daphene entered the garage and saw the box.,"After Daphene opened the box, what would Clio think Daphene would expect to find in the box?",key,2ndA,4,"Answer the question based on context:

Context:Clio found a box in the garage. The label on the box says key. Clio couldn’t see what was inside the box. Clio opened the box and found a plate. There is no key in the box. Clio closed the box and put it back. Daphene entered the garage and saw the box.
Question:
After Daphene opened the box, what would Clio think Daphene would expect to find in the box?","Complete the following paragraph:
Clio found a box in the garage. The label on the box says key. Clio couldn’t see what was inside the box. Clio opened the box and found a plate. There is no key in the box. Clio closed the box and put it back. Daphene entered the garage and saw the box. After Daphene opened the box, Clio would think Daphene would expect to find"
Clio found a box in the garage. The label on the box says key. Clio couldn’t see what was inside the box. Clio opened the box and found a plate. There is no key in the box. Clio closed the box and put it back. Daphene entered the garage and saw the box.,"After Daphene opened the box, what would Daphene think Clio would expect to find in the box?",key,2ndB,4,"Answer the question based on context:

Context:Clio found a box in the garage. The label on the box says key. Clio couldn’t see what was inside the box. Clio opened the box and found a plate. There is no key in the box. Clio closed the box and put it back. Daphene entered the garage and saw the box.
Question:
After Daphene opened the box, what would Daphene think Clio would expect to find in the box?","Complete the following paragraph:
Clio found a box in the garage. The label on the box says key. Clio couldn’t see what was inside the box. Clio opened the box and found a plate. There is no key in the box. Clio closed the box and put it back. Daphene entered the garage and saw the box. After Daphene opened the box, Daphene would think Clio would expect to find"
Melania found a briefcase in the living room. The label on the briefcase says vest. Melania couldn’t see what was inside the briefcase. Melania opened the briefcase and found a pencil. There is no vest in the briefcase. Melania closed the briefcase and put it back. Krysta entered the living room and saw the briefcase.,"After Krysta opened the briefcase, what would Krysta expect to find in the briefcase?",vest,1stB,5,"Answer the question based on context:

Context:Melania found a briefcase in the living room. The label on the briefcase says vest. Melania couldn’t see what was inside the briefcase. Melania opened the briefcase and found a pencil. There is no vest in the briefcase. Melania closed the briefcase and put it back. Krysta entered the living room and saw the briefcase.
Question:
After Krysta opened the briefcase, what would Krysta expect to find in the briefcase?","Complete the following paragraph:
Melania found a briefcase in the living room. The label on the briefcase says vest. Melania couldn’t see what was inside the briefcase. Melania opened the briefcase and found a pencil. There is no vest in the briefcase. Melania closed the briefcase and put it back. Krysta entered the living room and saw the briefcase. After Krysta opened the briefcase, Krysta would expect to find"
Melania found a briefcase in the living room. The label on the briefcase says vest. Melania couldn’t see what was inside the briefcase. Melania opened the briefcase and found a pencil. There is no vest in the briefcase. Melania closed the briefcase and put it back. Krysta entered the living room and saw the briefcase.,"After Krysta opened the briefcase, what would Melania think Krysta would expect to find in the briefcase?",vest,2ndA,5,"Answer the question based on context:

Context:Melania found a briefcase in the living room. The label on the briefcase says vest. Melania couldn’t see what was inside the briefcase. Melania opened the briefcase and found a pencil. There is no vest in the briefcase. Melania closed the briefcase and put it back. Krysta entered the living room and saw the briefcase.
Question:
After Krysta opened the briefcase, what would Melania think Krysta would expect to find in the briefcase?","Complete the following paragraph:
Melania found a briefcase in the living room. The label on the briefcase says vest. Melania couldn’t see what was inside the briefcase. Melania opened the briefcase and found a pencil. There is no vest in the briefcase. Melania closed the briefcase and put it back. Krysta entered the living room and saw the briefcase. After Krysta opened the briefcase, Melania would think Krysta would expect to find"
Melania found a briefcase in the living room. The label on the briefcase says vest. Melania couldn’t see what was inside the briefcase. Melania opened the briefcase and found a pencil. There is no vest in the briefcase. Melania closed the briefcase and put it back. Krysta entered the living room and saw the briefcase.,"After Krysta opened the briefcase, what would Krysta think Melania would expect to find in the briefcase?",vest,2ndB,5,"Answer the question based on context:

Context:Melania found a briefcase in the living room. The label on the briefcase says vest. Melania couldn’t see what was inside the briefcase. Melania opened the briefcase and found a pencil. There is no vest in the briefcase. Melania closed the briefcase and put it back. Krysta entered the living room and saw the briefcase.
Question:
After Krysta opened the briefcase, what would Krysta think Melania would expect to find in the briefcase?","Complete the following paragraph:
Melania found a briefcase in the living room. The label on the briefcase says vest. Melania couldn’t see what was inside the briefcase. Melania opened the briefcase and found a pencil. There is no vest in the briefcase. Melania closed the briefcase and put it back. Krysta entered the living room and saw the briefcase. After Krysta opened the briefcase, Krysta would think Melania would expect to find"
Hillary found a cabinet in the basement. The label on the cabinet says mask. Hillary couldn’t see what was inside the cabinet. Hillary opened the cabinet and found a tape. There is no mask in the cabinet. Hillary closed the cabinet and put it back. Kathryne entered the basement and saw the cabinet.,"After Kathryne opened the cabinet, what would Kathryne expect to find in the cabinet?",mask,1stB,6,"Answer the question based on context:

Context:Hillary found a cabinet in the basement. The label on the cabinet says mask. Hillary couldn’t see what was inside the cabinet. Hillary opened the cabinet and found a tape. There is no mask in the cabinet. Hillary closed the cabinet and put it back. Kathryne entered the basement and saw the cabinet.
Question:
After Kathryne opened the cabinet, what would Kathryne expect to find in the cabinet?","Complete the following paragraph:
Hillary found a cabinet in the basement. The label on the cabinet says mask. Hillary couldn’t see what was inside the cabinet. Hillary opened the cabinet and found a tape. There is no mask in the cabinet. Hillary closed the cabinet and put it back. Kathryne entered the basement and saw the cabinet. After Kathryne opened the cabinet, Kathryne would expect to find"
Hillary found a cabinet in the basement. The label on the cabinet says mask. Hillary couldn’t see what was inside the cabinet. Hillary opened the cabinet and found a tape. There is no mask in the cabinet. Hillary closed the cabinet and put it back. Kathryne entered the basement and saw the cabinet.,"After Kathryne opened the cabinet, what would Hillary think Kathryne would expect to find in the cabinet?",mask,2ndA,6,"Answer the question based on context:

Context:Hillary found a cabinet in the basement. The label on the cabinet says mask. Hillary couldn’t see what was inside the cabinet. Hillary opened the cabinet and found a tape. There is no mask in the cabinet. Hillary closed the cabinet and put it back. Kathryne entered the basement and saw the cabinet.
Question:
After Kathryne opened the cabinet, what would Hillary think Kathryne would expect to find in the cabinet?","Complete the following paragraph:
Hillary found a cabinet in the basement. The label on the cabinet says mask. Hillary couldn’t see what was inside the cabinet. Hillary opened the cabinet and found a tape. There is no mask in the cabinet. Hillary closed the cabinet and put it back. Kathryne entered the basement and saw the cabinet. After Kathryne opened the cabinet, Hillary would think Kathryne would expect to find"
Hillary found a cabinet in the basement. The label on the cabinet says mask. Hillary couldn’t see what was inside the cabinet. Hillary opened the cabinet and found a tape. There is no mask in the cabinet. Hillary closed the cabinet and put it back. Kathryne entered the basement and saw the cabinet.,"After Kathryne opened the cabinet, what would Kathryne think Hillary would expect to find in the cabinet?",mask,2ndB,6,"Answer the question based on context:

Context:Hillary found a cabinet in the basement. The label on the cabinet says mask. Hillary couldn’t see what was inside the cabinet. Hillary opened the cabinet and found a tape. There is no mask in the cabinet. Hillary closed the cabinet and put it back. Kathryne entered the basement and saw the cabinet.
Question:
After Kathryne opened the cabinet, what would Kathryne think Hillary would expect to find in the cabinet?","Complete the following paragraph:
Hillary found a cabinet in the basement. The label on the cabinet says mask. Hillary couldn’t see what was inside the cabinet. Hillary opened the cabinet and found a tape. There is no mask in the cabinet. Hillary closed the cabinet and put it back. Kathryne entered the basement and saw the cabinet. After Kathryne opened the cabinet, Kathryne would think Hillary would expect to find"
Norina found a chest in the loft. The label on the chest says ruler. Norina couldn’t see what was inside the chest. Norina opened the chest and found a coconut. There is no ruler in the chest. Norina closed the chest and put it back. Jobina entered the loft and saw the chest.,"After Jobina opened the chest, what would Jobina expect to find in the chest?",ruler,1stB,7,"Answer the question based on context:

Context:Norina found a chest in the loft. The label on the chest says ruler. Norina couldn’t see what was inside the chest. Norina opened the chest and found a coconut. There is no ruler in the chest. Norina closed the chest and put it back. Jobina entered the loft and saw the chest.
Question:
After Jobina opened the chest, what would Jobina expect to find in the chest?","Complete the following paragraph:
Norina found a chest in the loft. The label on the chest says ruler. Norina couldn’t see what was inside the chest. Norina opened the chest and found a coconut. There is no ruler in the chest. Norina closed the chest and put it back. Jobina entered the loft and saw the chest. After Jobina opened the chest, Jobina would expect to find"
Norina found a chest in the loft. The label on the chest says ruler. Norina couldn’t see what was inside the chest. Norina opened the chest and found a coconut. There is no ruler in the chest. Norina closed the chest and put it back. Jobina entered the loft and saw the chest.,"After Jobina opened the chest, what would Norina think Jobina would expect to find in the chest?",ruler,2ndA,7,"Answer the question based on context:

Context:Norina found a chest in the loft. The label on the chest says ruler. Norina couldn’t see what was inside the chest. Norina opened the chest and found a coconut. There is no ruler in the chest. Norina closed the chest and put it back. Jobina entered the loft and saw the chest.
Question:
After Jobina opened the chest, what would Norina think Jobina would expect to find in the chest?","Complete the following paragraph:
Norina found a chest in the loft. The label on the chest says ruler. Norina couldn’t see what was inside the chest. Norina opened the chest and found a coconut. There is no ruler in the chest. Norina closed the chest and put it back. Jobina entered the loft and saw the chest. After Jobina opened the chest, Norina would think Jobina would expect to find"
Norina found a chest in the loft. The label on the chest says ruler. Norina couldn’t see what was inside the chest. Norina opened the chest and found a coconut. There is no ruler in the chest. Norina closed the chest and put it back. Jobina entered the loft and saw the chest.,"After Jobina opened the chest, what would Jobina think Norina would expect to find in the chest?",ruler,2ndB,7,"Answer the question based on context:

Context:Norina found a chest in the loft. The label on the chest says ruler. Norina couldn’t see what was inside the chest. Norina opened the chest and found a coconut. There is no ruler in the chest. Norina closed the chest and put it back. Jobina entered the loft and saw the chest.
Question:
After Jobina opened the chest, what would Jobina think Norina would expect to find in the chest?","Complete the following paragraph:
Norina found a chest in the loft. The label on the chest says ruler. Norina couldn’t see what was inside the chest. Norina opened the chest and found a coconut. There is no ruler in the chest. Norina closed the chest and put it back. Jobina entered the loft and saw the chest. After Jobina opened the chest, Jobina would think Norina would expect to find"
Karalynn found a coffer in the kitchen. The label on the coffer says calculator. Karalynn couldn’t see what was inside the coffer. Karalynn opened the coffer and found a pepper. There is no calculator in the coffer. Karalynn closed the coffer and put it back. Clio entered the kitchen and saw the coffer.,"After Clio opened the coffer, what would Clio expect to find in the coffer?",calculator,1stB,8,"Answer the question based on context:

Context:Karalynn found a coffer in the kitchen. The label on the coffer says calculator. Karalynn couldn’t see what was inside the coffer. Karalynn opened the coffer and found a pepper. There is no calculator in the coffer. Karalynn closed the coffer and put it back. Clio entered the kitchen and saw the coffer.
Question:
After Clio opened the coffer, what would Clio expect to find in the coffer?","Complete the following paragraph:
Karalynn found a coffer in the kitchen. The label on the coffer says calculator. Karalynn couldn’t see what was inside the coffer. Karalynn opened the coffer and found a pepper. There is no calculator in the coffer. Karalynn closed the coffer and put it back. Clio entered the kitchen and saw the coffer. After Clio opened the coffer, Clio would expect to find"
Karalynn found a coffer in the kitchen. The label on the coffer says calculator. Karalynn couldn’t see what was inside the coffer. Karalynn opened the coffer and found a pepper. There is no calculator in the coffer. Karalynn closed the coffer and put it back. Clio entered the kitchen and saw the coffer.,"After Clio opened the coffer, what would Karalynn think Clio would expect to find in the coffer?",calculator,2ndA,8,"Answer the question based on context:

Context:Karalynn found a coffer in the kitchen. The label on the coffer says calculator. Karalynn couldn’t see what was inside the coffer. Karalynn opened the coffer and found a pepper. There is no calculator in the coffer. Karalynn closed the coffer and put it back. Clio entered the kitchen and saw the coffer.
Question:
After Clio opened the coffer, what would Karalynn think Clio would expect to find in the coffer?","Complete the following paragraph:
Karalynn found a coffer in the kitchen. The label on the coffer says calculator. Karalynn couldn’t see what was inside the coffer. Karalynn opened the coffer and found a pepper. There is no calculator in the coffer. Karalynn closed the coffer and put it back. Clio entered the kitchen and saw the coffer. After Clio opened the coffer, Karalynn would think Clio would expect to find"
Karalynn found a coffer in the kitchen. The label on the coffer says calculator. Karalynn couldn’t see what was inside the coffer. Karalynn opened the coffer and found a pepper. There is no calculator in the coffer. Karalynn closed the coffer and put it back. Clio entered the kitchen and saw the coffer.,"After Clio opened the coffer, what would Clio think Karalynn would expect to find in the coffer?",calculator,2ndB,8,"Answer the question based on context:

Context:Karalynn found a coffer in the kitchen. The label on the coffer says calculator. Karalynn couldn’t see what was inside the coffer. Karalynn opened the coffer and found a pepper. There is no calculator in the coffer. Karalynn closed the coffer and put it back. Clio entered the kitchen and saw the coffer.
Question:
After Clio opened the coffer, what would Clio think Karalynn would expect to find in the coffer?","Complete the following paragraph:
Karalynn found a coffer in the kitchen. The label on the coffer says calculator. Karalynn couldn’t see what was inside the coffer. Karalynn opened the coffer and found a pepper. There is no calculator in the coffer. Karalynn closed the coffer and put it back. Clio entered the kitchen and saw the coffer. After Clio opened the coffer, Clio would think Karalynn would expect to find"
Vera found a chamber in the terrace. The label on the chamber says cable. Vera couldn’t see what was inside the chamber. Vera opened the chamber and found a notebook. There is no cable in the chamber. Vera closed the chamber and put it back. Daphene entered the terrace and saw the chamber.,"After Daphene opened the chamber, what would Daphene expect to find in the chamber?",cable,1stB,9,"Answer the question based on context:

Context:Vera found a chamber in the terrace. The label on the chamber says cable. Vera couldn’t see what was inside the chamber. Vera opened the chamber and found a notebook. There is no cable in the chamber. Vera closed the chamber and put it back. Daphene entered the terrace and saw the chamber.
Question:
After Daphene opened the chamber, what would Daphene expect to find in the chamber?","Complete the following paragraph:
Vera found a chamber in the terrace. The label on the chamber says cable. Vera couldn’t see what was inside the chamber. Vera opened the chamber and found a notebook. There is no cable in the chamber. Vera closed the chamber and put it back. Daphene entered the terrace and saw the chamber. After Daphene opened the chamber, Daphene would expect to find"
Vera found a chamber in the terrace. The label on the chamber says cable. Vera couldn’t see what was inside the chamber. Vera opened the chamber and found a notebook. There is no cable in the chamber. Vera closed the chamber and put it back. Daphene entered the terrace and saw the chamber.,"After Daphene opened the chamber, what would Vera think Daphene would expect to find in the chamber?",cable,2ndA,9,"Answer the question based on context:

Context:Vera found a chamber in the terrace. The label on the chamber says cable. Vera couldn’t see what was inside the chamber. Vera opened the chamber and found a notebook. There is no cable in the chamber. Vera closed the chamber and put it back. Daphene entered the terrace and saw the chamber.
Question:
After Daphene opened the chamber, what would Vera think Daphene would expect to find in the chamber?","Complete the following paragraph:
Vera found a chamber in the terrace. The label on the chamber says cable. Vera couldn’t see what was inside the chamber. Vera opened the chamber and found a notebook. There is no cable in the chamber. Vera closed the chamber and put it back. Daphene entered the terrace and saw the chamber. After Daphene opened the chamber, Vera would think Daphene would expect to find"
Vera found a chamber in the terrace. The label on the chamber says cable. Vera couldn’t see what was inside the chamber. Vera opened the chamber and found a notebook. There is no cable in the chamber. Vera closed the chamber and put it back. Daphene entered the terrace and saw the chamber.,"After Daphene opened the chamber, what would Daphene think Vera would expect to find in the chamber?",cable,2ndB,9,"Answer the question based on context:

Context:Vera found a chamber in the terrace. The label on the chamber says cable. Vera couldn’t see what was inside the chamber. Vera opened the chamber and found a notebook. There is no cable in the chamber. Vera closed the chamber and put it back. Daphene entered the terrace and saw the chamber.
Question:
After Daphene opened the chamber, what would Daphene think Vera would expect to find in the chamber?","Complete the following paragraph:
Vera found a chamber in the terrace. The label on the chamber says cable. Vera couldn’t see what was inside the chamber. Vera opened the chamber and found a notebook. There is no cable in the chamber. Vera closed the chamber and put it back. Daphene entered the terrace and saw the chamber. After Daphene opened the chamber, Daphene would think Vera would expect to find"
Sabra found a locker in the balcony. The label on the locker says binder. Sabra couldn’t see what was inside the locker. Sabra opened the locker and found a mug. There is no binder in the locker. Sabra closed the locker and put it back. Melania entered the balcony and saw the locker.,"After Melania opened the locker, what would Melania expect to find in the locker?",binder,1stB,10,"Answer the question based on context:

Context:Sabra found a locker in the balcony. The label on the locker says binder. Sabra couldn’t see what was inside the locker. Sabra opened the locker and found a mug. There is no binder in the locker. Sabra closed the locker and put it back. Melania entered the balcony and saw the locker.
Question:
After Melania opened the locker, what would Melania expect to find in the locker?","Complete the following paragraph:
Sabra found a locker in the balcony. The label on the locker says binder. Sabra couldn’t see what was inside the locker. Sabra opened the locker and found a mug. There is no binder in the locker. Sabra closed the locker and put it back. Melania entered the balcony and saw the locker. After Melania opened the locker, Melania would expect to find"
Sabra found a locker in the balcony. The label on the locker says binder. Sabra couldn’t see what was inside the locker. Sabra opened the locker and found a mug. There is no binder in the locker. Sabra closed the locker and put it back. Melania entered the balcony and saw the locker.,"After Melania opened the locker, what would Sabra think Melania would expect to find in the locker?",binder,2ndA,10,"Answer the question based on context:

Context:Sabra found a locker in the balcony. The label on the locker says binder. Sabra couldn’t see what was inside the locker. Sabra opened the locker and found a mug. There is no binder in the locker. Sabra closed the locker and put it back. Melania entered the balcony and saw the locker.
Question:
After Melania opened the locker, what would Sabra think Melania would expect to find in the locker?","Complete the following paragraph:
Sabra found a locker in the balcony. The label on the locker says binder. Sabra couldn’t see what was inside the locker. Sabra opened the locker and found a mug. There is no binder in the locker. Sabra closed the locker and put it back. Melania entered the balcony and saw the locker. After Melania opened the locker, Sabra would think Melania would expect to find"
Sabra found a locker in the balcony. The label on the locker says binder. Sabra couldn’t see what was inside the locker. Sabra opened the locker and found a mug. There is no binder in the locker. Sabra closed the locker and put it back. Melania entered the balcony and saw the locker.,"After Melania opened the locker, what would Melania think Sabra would expect to find in the locker?",binder,2ndB,10,"Answer the question based on context:

Context:Sabra found a locker in the balcony. The label on the locker says binder. Sabra couldn’t see what was inside the locker. Sabra opened the locker and found a mug. There is no binder in the locker. Sabra closed the locker and put it back. Melania entered the balcony and saw the locker.
Question:
After Melania opened the locker, what would Melania think Sabra would expect to find in the locker?","Complete the following paragraph:
Sabra found a locker in the balcony. The label on the locker says binder. Sabra couldn’t see what was inside the locker. Sabra opened the locker and found a mug. There is no binder in the locker. Sabra closed the locker and put it back. Melania entered the balcony and saw the locker. After Melania opened the locker, Melania would think Sabra would expect to find"
Clio found a suitcase in the nursery. The label on the suitcase says cup. Clio couldn’t see what was inside the suitcase. Clio opened the suitcase and found a cucumber. There is no cup in the suitcase. Clio closed the suitcase and put it back. Felicity entered the nursery and saw the suitcase.,"After Felicity opened the suitcase, what would Felicity expect to find in the suitcase?",cup,1stB,11,"Answer the question based on context:

Context:Clio found a suitcase in the nursery. The label on the suitcase says cup. Clio couldn’t see what was inside the suitcase. Clio opened the suitcase and found a cucumber. There is no cup in the suitcase. Clio closed the suitcase and put it back. Felicity entered the nursery and saw the suitcase.
Question:
After Felicity opened the suitcase, what would Felicity expect to find in the suitcase?","Complete the following paragraph:
Clio found a suitcase in the nursery. The label on the suitcase says cup. Clio couldn’t see what was inside the suitcase. Clio opened the suitcase and found a cucumber. There is no cup in the suitcase. Clio closed the suitcase and put it back. Felicity entered the nursery and saw the suitcase. After Felicity opened the suitcase, Felicity would expect to find"
